Empresa,Tipo,País,Contacto,Teléfono,Email,Dirección,Estado,Último Contacto,Vía,Próximo Seguimiento,Comentario
"SixSeven","Restaurante","Luxemburgo","","+35226262667","Contactar por telefono/visita","103 Grand-Rue, 1660 Ville-Haute Luxembourg","Nuevo","2026-05-18","Visita","",""
"La Taperia","Restaurante","Luxemburgo","","+352460387","Contactar por visita","120 Rue Albert Unden, 2652 Limpertsberg Luxembourg","Nuevo","","","",""
"Bazaar","Restaurante","Luxemburgo","","+35228990707","Contactar por  web","46 Pl. Guillaume II, 1648 Ville-Haute Luxembourg","Nuevo","","","",""
"Hôtel Le Royal","Hotel","Luxemburgo","","+352 24 16 16 734","restauration-lux@leroyal.com","12, boulevard Royal L-2449 Luxembourg (ville)","Nuevo","","","",""
"Shinzo","Restaurante","Luxemburgo","","+35227 84 98 74","contact@shinzobar.com","Grand Rue 8 | L-1660 Luxembourg","Nuevo","","","",""
"Cave Royale","Supermercado","Luxemburgo","","+352224574","Contactar por visita","29 Av. Monterey, 2163 Ville-Haute Luxembourg","Nuevo","","","",""
"Bar a vin","Vinoteca","Luxemburgo","","+352 26 26 21 26","info@baravin.lu","31, rue des capucins L-1313 Luxembourg","Nuevo","","","",""
"Wine House","Vinoteca","Luxemburgo","","+35220287354","Contactar por visita","3 Rue Chimay, 1333 Ville-Haute Luxembourg","Nuevo","","","","Abierto Miercoles a Jueves de 17:30 a 23:00 hs  -  Viernes 17:30 a 01:00 hs
                      Sabado  14:00 a 01:00 hs - Domingo 16:00 a 22:00 hs"
"La reserve","Vinoteca","Luxemburgo","","+35228798340","lareserveluxembourg@gmail.com","23 Avenue Pasteur, L-2311 Luxembourg","Nuevo","","","",""
"Vinoteca","Vinoteca","Luxemburgo","","+35226864434","Contactar por la web","6, rue Wiltheim","Nuevo","","","",""
"Vin Fins","Restaurante","Luxemburgo","","+35226200449","info@vinsfins.lu","18, Rue Münster","Nuevo","","","",""
"Cafetin buenos aires","Restaurante","Luxemburgo","","+35226203683","cafetin@pt.lu","5 Pass. Roger Manderscheid","Interesado","2026-05-12","WhatsApp","2026-05-31",""
"Cafe des Tramways","Restaurante","Luxemburgo","","+35226201136","info@cafedestramways.lu","79 Av. Pasteur","Nuevo","2026-05-17","Email","2026-07-03",""
"El Molino de sabores","Restaurante","Luxemburgo","Rita","+352621661519","info@elmolinodesabores.lu","32 rue de l'industrie","Interesado","2026-05-18","Visita","2026-05-31",""
"Bella Ciao","Restaurante","Luxemburgo","","+35226187345","hellomersch@bellaciao.lu","22 Rue d´arlon","Nuevo","2026-05-17","Visita","2026-05-29",""
"Venta golf","Otro","Luxemburgo","Alarn Torner","+34687552505","","","Cerrado","2026-05-09","Email","2026-05-30",""
